runId,label,operation,requestId,phase,t,status,errorCode,classification,reasonClient,reasonApi,stageApi,apiPresent,providerDispatched,e2eMs
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-15711,measured,44.439,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,profile,profile-6737,measured,44.563,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,752
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-15818,measured,45.967,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,756
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-15853,measured,46.467,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,755
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,quote,quote-17333,measured,67.611,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,756
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,profile,profile-4063,measured,15.431,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,755
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,quote,quote-9658,measured,17.97,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,762
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,profile,profile-4153,measured,18.432,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,754
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,quote,quote-9852,measured,20.741,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,756
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,quote,quote-9860,measured,20.855,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,754
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,quote,quote-9893,measured,21.327,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,754
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,profile,profile-4371,measured,25.698,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,quote,quote-14797,measured,91.382,503,1503,technical_error,hard_deadline,hard_deadline,consent,True,False,751
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,quote,quote-15820,measured,105.997,503,1503,technical_error,hard_deadline,hard_deadline,snapshot,True,False,753
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21550,measured,187.863,0,1050,technical_error,,provider_error,completed,True,True,2002
