runId,label,operation,t,emitted,incomplete,p95,dispatch,normal,openOrHalf
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,230,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,240,700,0,151.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,250,700,0,152.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,260,700,0,154.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,270,700,0,154.04999999999995,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,280,700,0,153.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,quote,290,700,0,154.0,700,700,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,0,300,0,155.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,10,300,0,157.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,20,300,0,151.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,30,300,0,154.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,40,300,0,160.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,50,300,0,154.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,60,300,0,152.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,70,300,0,149.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,80,300,0,155.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,90,300,0,155.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,100,300,0,150.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,110,300,0,151.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,120,300,0,154.05,300,299,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,130,300,0,154.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,140,300,0,152.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,150,300,0,151.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,160,300,0,151.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,170,300,0,154.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,180,300,0,152.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,190,300,0,151.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,200,300,0,154.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,210,300,0,154.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,220,300,0,155.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,230,300,0,150.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,240,300,0,150.05,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,250,300,0,151.0,300,299,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,260,300,0,152.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,270,300,0,155.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,280,300,0,153.0,300,300,0
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,profile,290,300,0,154.0,300,300,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,0,700,0,153.0,700,698,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,10,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,20,700,0,152.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,30,700,0,153.04999999999995,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,40,700,0,155.04999999999995,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,50,700,0,154.0,700,700,0
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,quote,60,700,0,153.0,700,700,0
