runId,label,caseId,fixture,repetition,operation,emitted,complete,p50,p95,p99,wilsonLower,fallbackRatio,providerAttempts,serverResponses,reconciled,loadComplete,latencyPass,completenessPass,maxMs,incomplete,extraIncomplete,originalStatus,derivedStatus
E07-s7-initial-0323826e-20d0-4a86-811e-065902815d3e,E07 vencido r2,E07,expired,2,profile,9000,9000,143,181,358.0100000000002,0.9995733376739991,1,296,9000,True,True,True,True,585,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E07-s7-initial-d6ee825c-243a-43e9-825a-129dd1470d21,E07 ausente r2,E07,absent,2,quote,21000,21000,141,162,189,0.9998171001251503,1,494,21000,True,True,True,True,409,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E07-s7-initial-d6ee825c-243a-43e9-825a-129dd1470d21,E07 ausente r2,E07,absent,2,profile,8999,8997,140,166,191,0.9991899350800195,0.999777753083676,273,8999,True,True,True,True,773,2,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E03-s7-initial-be88a536-2e69-4ef7-aaf7-098d325644f9,E03 r3,E03,valid,3,quote,21000,21000,142,166,266,0.9998171001251503,1,486,21000,True,True,True,True,591,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E03-s7-initial-be88a536-2e69-4ef7-aaf7-098d325644f9,E03 r3,E03,valid,3,profile,8999,8999,142,169.10000000000036,268.02000000000044,0.999573290282037,1,310,8999,True,True,True,True,485,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E06-s7-initial-0d4dc61c-1752-41da-b36f-737af44c615d,E06 r1,E06,valid,1,quote,21000,21000,139,154,167,0.9998171001251503,0.21771428571428572,16428,21000,True,True,True,True,353,0,0,INCONCLUSO,INCONCLUSO
E06-s7-initial-0d4dc61c-1752-41da-b36f-737af44c615d,E06 r1,E06,valid,1,profile,9000,9000,139,154,166,0.9995733376739991,0.21255555555555555,7089,9000,True,True,True,True,349,0,0,INCONCLUSO,INCONCLUSO
E04-s7-initial-38fc9da2-7803-4965-bf73-c771adef8732,E04 r3,E04,valid,3,quote,21000,20999,145,184,204,0.9997302852133687,0.8587619047619047,4274,21000,True,True,True,True,821,1,0,INCONCLUSO,INCONCLUSO
E04-s7-initial-38fc9da2-7803-4965-bf73-c771adef8732,E04 r3,E04,valid,3,profile,9000,9000,144,179,202,0.9995733376739991,0.9037777777777778,1244,9000,True,True,True,True,382,0,0,INCONCLUSO,INCONCLUSO
E02-s7-initial-2cd679cc-bd46-4060-abcf-cc023178a89c,E02 r3,E02,valid,3,quote,21000,21000,200,214,238.0099999999984,0.9998171001251503,0.0005714285714285715,21000,21000,True,True,True,True,422,0,0,INCONCLUSO,INCONCLUSO
E02-s7-initial-2cd679cc-bd46-4060-abcf-cc023178a89c,E02 r3,E02,valid,3,profile,9000,9000,200,214,228,0.9995733376739991,0.0005555555555555556,9000,9000,True,True,True,True,476,0,0,INCONCLUSO,INCONCLUSO
E06-s7-initial-4dcf11b4-30f9-431e-8de0-7f5929313940,E06 r3,E06,valid,3,quote,21000,21000,140,155,169,0.9998171001251503,0.22233333333333333,16332,21000,True,True,True,True,386,0,0,AJUSTAR,CRITERIOS_BASICOS_CUMPLIDOS
E06-s7-initial-4dcf11b4-30f9-431e-8de0-7f5929313940,E06 r3,E06,valid,3,profile,9000,9000,140,156,171,0.9995733376739991,0.22644444444444445,6963,9000,True,True,True,True,437,0,0,AJUSTAR,CRITERIOS_BASICOS_CUMPLIDOS
E08-s7-initial-4fb8bfec-855d-44fe-965d-32802c675f24,E08 revocado r1,E08,revoked,1,quote,21000,20999,98,109,119,0.9997302852133687,0,0,21000,True,True,True,True,749,1,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E08-s7-initial-4fb8bfec-855d-44fe-965d-32802c675f24,E08 revocado r1,E08,revoked,1,profile,9000,9000,97,109,119,0.9995733376739991,0,0,9000,True,True,True,True,295,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,E06,valid,2,quote,20999,20989,141,158,172,0.9991235346376122,0.2145816467450831,16485,20999,True,True,True,True,757,10,0,INCONCLUSO,INCONCLUSO
E06-s7-initial-7018cf53-40c6-46a0-a182-d70c26e9f552,E06 r2,E06,valid,2,profile,8999,8995,141,157,171,0.9988575472811012,0.2234692743638182,6987,8999,True,True,True,False,753,4,0,INCONCLUSO,INCONCLUSO
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,E05,valid,1,quote,21000,20994,141,177,197,0.9993767260700798,0.9997142857142857,977,21000,True,True,True,True,762,6,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E05-s7-initial-365e75c7-46ba-4204-bbae-4ae59d9ef5fa,E05 r1,E05,valid,1,profile,9000,8997,141,180,194,0.9990203231406085,0.9996666666666667,556,9000,True,True,True,True,755,3,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,E09,valid,1,quote,20927,20640,183,317,2000,0.9846182618340051,0.9862378745161753,20640,20912,False,True,False,False,2002,287,0,INCONCLUSO,INCONCLUSO
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,E09,valid,1,profile,8976,8869,182,324,2000,0.9856160801517286,0.9880793226381461,8869,8972,False,True,False,False,2002,107,0,INCONCLUSO,INCONCLUSO
